1,HUEVOS AL GUSTO,1,60,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
2,HUEVOS A LA JOYA,2,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
3,HUEVOS CAMPIRANOS,3,75,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
4,"ENCHILADAS, ENMOLADAS O ENFRIJOLADAS",4,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
5,CHILAQUILES,5,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
6,OMELETE DE QUESO,6,75,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
7,BISTECK DE TERNERA,7,75,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
8,ENSALADA LA JOYA,8,45,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
9,CONSOME,9,40,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
10,SOPA DE CHAMPIÑON,10,40,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
11,PANCITA DE RES,11,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
12,MENUDO DE BORREGO,12,75,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
13,CHORIQUESO,13,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
14,"PAPA, CHORIZO Y QUESO",14,65,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
15,QUESADILLA NATURAL,15,20,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
16,PICADITA,16,15,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
17,QUESADILLA CON CARNE,17,25,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
18,PICADITA CON CARNE,18,25,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
19,GUACAMOLE,19,45,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
20,QUESO ASADO,20,45,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
21,PAPAS DE GAJO,21,45,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
22,"TOREADOS, NOPAL Y CEBOLLA",22,35,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
23,SURTIDO,23,90,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
24,LONGANIZA,24,85,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
25,LOMO,25,90,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
26,POLLO,26,85,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
27,CECINA,27,90,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
28,MOLLEJAS DE RES,28,90,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
29,CHULETA DE CORDERO,29,90,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
30,CONEJO,30,90,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
31,COSTILLA,31,95,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
32,CHISTORRA,32,100,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
33,ARRACHERA,33,120,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
34,PARRILLA CON QUESO,34,400,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
35,T-BONE,35,160,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
36,TOP-SIRLOIN,36,160,0,0,0,0,Pieza,0,0,0,1,0,0,,0,0,,0,0,0,15,../uploads/alcohol.jpg,14,3
